file,mood,duration_s,tempo_bpm,note_density,avg_velocity,pitch_range,ioi_var,mode_major_prob
data/mood/raw\calm\bach_air_bmv_1068.mid,calm,63.33330800000001,72.0000288000115,7.278950280001164,127.0,32,0.02388289836804208,0.5
data/mood/raw\calm\Bach_Preludio_BWV997.mid,calm,165.75,80.0,5.840120663650075,90.0,34,0.012767233921049226,0.5
data/mood/raw\energetic\bwv971.mid,energetic,790.4986979166666,120.0,8.040493952426525,125.97293895531782,51,0.03873471952970427,0.5
data/mood/raw\somber\Bwv0582 Passacaglia and Fugue (Orchestral).mid,somber,857.3759290000002,40.0,23.39930399422258,78.35200877280431,72,0.012767038339579805,0.5
data/mood/raw\somber\Chaconne-(BMV-1004).mid,somber,858.046875,120.0,9.151015205317309,86.9223127865512,85,0.03721057961179571,0.5
data/mood/raw\upbeat\Brandenburg-Concerto-Nr-3-Bwv-1047.mid,upbeat,117.65641281250001,86.50081809124399,21.409797730399422,89.90869392616118,85,0.006052920294120398,0.5
data/mood/raw\upbeat\Bwv0816 French Suite n5.mid,upbeat,1179.4193244635417,105.000105000105,7.044144374842162,92.0,46,0.026376649253920054,0.5
